sku;descripcion;marca;id_categoria;presentacion;unidadcm3;unidadkg;id_proveedor
1165;DISPXX-XX-X-XXXMINI;SIN DEFINIR;69;No Asignada;5;5;3
1166;DISPXX-XX-X-XXXGRIS;SIN DEFINIR;69;No Asignada;0.26669999999999999;0.35999999999999999;3
1168;IMAGXX-XX-X-XXXKILO;GRIDO;79;No Asignada;0;0.17000000000000001;3
1169;IMAGXX-XX-X-XXXTRES;SIN DEFINIR;79;No Asignada;0;0.17000000000000001;3
1170;IMAGXX-XX-X-XXXRTAS;SIN DEFINIR;79;No Asignada;0;0.17000000000000001;3
1171;IMAGXX-XX-X-XXXTINO;SIN DEFINIR;79;No Asignada;0;0.17000000000000001;3
1172;VASOXX-XX-X-XXXCIÓN;SIN DEFINIR;65;Unidades;5;5;3
1173;GRIDXX-XX-X-XXXCION;GRIDO;38;Kilogramos;1.76;5;2
1175;CAJAXX-XX-X-XXXRIDO;GRIDO;73;Unidades;8.3330000000000002;4.5800000000000001;3
1176;BASEXX-XX-X-XXXDERA;SIN DEFINIR;79;Unidades;0;0;3
1177;NUEZXX-XX-X-XXX2 KG;SIN DEFINIR;66;No Asignada;0.10000000000000001;0.5;3
1178;BUZOXX-XX-X-XXXE XS;VIA BANA;92;No Asignada;0.27779999999999999;0;3
1179;BUZOXX-XX-X-XXXLE S;VIA BANA;554;No Asignada;0.40000000000000002;0;3
1180;BUZOXX-XX-X-XXXLE M;VIA BANA;554;No Asignada;0.40000000000000002;0;3
1181;BUZOXX-XX-X-XXXLE L;VIA BANA;554;No Asignada;0.40000000000000002;0;3
1182;BUZOXX-XX-X-XXXE XL;VIA BANA;554;Unidades;0.40000000000000002;0;3
1183;BUZOXX-XX-X-XXX XXL;VIA BANA;554;No Asignada;0.40000000000000002;0.41999999999999998;3
1185;GRIDXX-XX-X-XXXCION;GRIDO;51;Unidades;1.76;5;2
1186;CREMXX-XX-X-XXXRIDO;GRIDO;38;Unidades;5;5;2
1187;35 XXX-XX-X-XXXunid;VIA BANA;92;No Asignada;5;5;3
1188;40 XXX-XX-X-XXXnid.;VIA BANA;92;No Asignada;5;5;3
1189;CAPUXX-XX-X-XXXUNID;SIN DEFINIR;68;No Asignada;5;5;3
